Total missing description_fr: 695
  have description_en: 374
  no description_en: 321

=== NO description_en - need invented descriptions ===
Antelope-like Animal (Small) | Animal de type antilope (petit) | Herbivores and Other Normally Non-Aggressive Animals | Lv1 | sz=M | OB:20SHo80/00STs20
Sabertooth Tiger | Tigre à dents de sabre | Prehistoric Animals | Lv7 | sz=L | OB:[]
Lambtree | Arbre à moutons | Dangerous Plants | Lv1 | sz=M | OB:10SBa(1attack/lamb)
Tigertree | Arbre-tigre | Dangerous Plants | Lv5 | sz=L | OB:asTiger(1attack/tiger)
Emitter Plants | Plantes émettrices | Dangerous Plants | Lv3 | sz=M | OB:[]
Awakened Tree | Arbre éveillé | Dangerous Plants | Lv5 | sz=L | OB:[]
Slowroot | Lenteracine | Dangerous Plants | Lv10 | sz=L | OB:[]
Treeherd | Pasteur des arbres | Dangerous Plants | Lv20 | sz=H | OB:[]
Trapping Plants | Plantes piégeuses | Dangerous Plants | Lv2 | sz=M | OB:[]
Giant (Normal) | Géant (Normal) | Giant Races | Lv12 | sz=H | OB:/70ro(150') 80We(3D)/70LGr/100HCr
Ogre (Small) | Ogre (petit) | Giant Races | Lv4 | sz=M | OB:40We/75MBa/50MCl !
Goblins | Gobelins | Underground Races | Lv2 | sz=M | OB:40Melee/20Missile
Kobolds | Kobolds | Underground Races | Lv1 | sz=M | OB:20Melee/40Missile
Troglodyte | Troglodyte | Underground Races | Lv2 | sz=M | OB:50Melee/10Missile
Elf (Wood) | Elfe (des bois) | Fairy Races | Lv4 | sz=M | OB:50Melee/60Missile
Elf (High) | Elfe (haut) | Fairy Races | Lv5 | sz=M | OB:80Melee/100Missile/Spells
Elf (Fair) | Elfe (noble) | Fairy Races | Lv6 | sz=M | OB:100Melee/100Missile/Spells
Pysk | Pysk | Fairy Races | Lv3 | sz=T | OB:5Melee/20Missile/Spells
Sylphs (flys) | Sylphes (vols) | Fairy Races | Lv3 | sz=T | OB:5Melee/20Missile/Spells
Tylweth | Tylweth | Fairy Races | Lv4 | sz=S | OB:40Melee/50Missile/Spells
House Spirits | Esprits domestiques | Fairy Races | Lv2 | sz=T | OB:5Melee/20Missile/Spells
Fosse-Grim | Fosse-Grim | Fairy Races | Lv5 | sz=M | OB:50Melee/50Missile/Spells
Nymphs | Nymphes | Fairy Races | Lv3 | sz=M | OB:10Melee/30Missile/Spells
Satyrs | Satyres | Fairy Races | Lv3 | sz=M | OB:50Melee/50Missile/60SHo
Undines | Ondines | Fairy Races | Lv3 | sz=M | OB:15Melee/20Missile/Spells
Yaai | Yaai | Fairy Races | Lv3 | sz=M | OB:40Melee/40Missile/Spells
Hira'razhir (Avians) | Hira'razhir (aviaires) | Unusual Races | Lv3 | sz=M | OB:20Melee/50Missile/Spells
Warriors | Guerriers | Unusual Races | Lv3 | sz=M | OB:70Melee/50Missile/50MGr/100LPi@
Maazhat (Insects) (Workers/Drones) | Maazhat (insectes) (ouvrières/drones) | Unusual Races | Lv1 | sz=M | OB:10Melee/20MGr/50MPi@
Maazhat (Insects) (Lieutenants) | Maazhat (insectes) (lieutenants) | Unusual Races | Lv3 | sz=M | OB:50Melee/40Missile/30MGr/50MPi@
Maazhat (Insects) (Queen) | Maazhat (insectes) (reine) | Unusual Races | Lv10 | sz=M | OB:80Melee/50Missile/Spells
Sstoi'isslythi (Reptiles) | Sstoi'isslythi (Reptiles) | Unusual Races | Lv3 | sz=M | OB:20Melee&Missile/40SSt/poison@/Spells
Vulfen (Wolfmen) | Vulfen (hommes-loups) | Unusual Races | Lv3 | sz=M | OB:60Melee/40Missile/50MCl(2x)
Electric Wasp | Guêpe électrique | Exotic Animals | Lv1 | sz=T | OB:20TSt[A Elec]
Giant Furred Snake | Serpent géant à fourrure | Exotic Animals | Lv5 | sz=S | OB:70MBi/Poison«/60lcb
Ihl Wolf | Loup Ihl | Exotic Animals | Lv4 | sz=M | OB:70MBi
Giant Slug - Carnivorous | géant Slug - carnivore | Exotic Animals | Lv7 | sz=L | OB:80LBi
Giant Slug - Spined | géant Slug - épineux | Exotic Animals | Lv6 | sz=L | OB:60LHo(l -3x)
Suggram | Suggram | Exotic Animals | Lv5 | sz=L | OB:10MBa
Strider Bird | Strider Bird | Exotic Animals | Lv4 | sz=L | OB:50MPi/40SCl
Plasma Drake - Young | Dracosien de plasma - jeune | Drakes and Dragons | Lv10 | sz=H | OB:60HBi/75HCl/60HBa/90HHo/100PBr
Plasma Drake - Mature | Dracosien de plasma - adulte | Drakes and Dragons | Lv34 | sz=H | OB:80HBi/100HCl/70HBa/100HHo/110PBr
Plasma Drake - Old | Dracosien de plasma - ancien | Drakes and Dragons | Lv62 | sz=H | OB:90HBi/110HCl/80HBa/110HHo/120PBr
Greater Basilisk | Grand basilic | Drakes and Dragons | Lv20 | sz=L | OB:100LPi/Poison/80LCl/Poison/Special/Spells
Leviathan | Léviathan | Drakes and Dragons | Lv80 | sz=H | OB:280HBi/300HCl/250HBa/200FBr
Arachat | Arachat | Composite Monsters | Lv8 | sz=M | OB:80LBi/Special
Leocom | Leocom | Composite Monsters | Lv7 | sz=M | OB:I
Leorgon | Leorgon | Composite Monsters | Lv9 | sz=M | OB:110LBi/90MCl/60SBi(1-6x)/Poison/Both/Special
Mist Monster | Mist Monster | Composite Monsters | Lv9 | sz=L | OB:80MGr[Cold]/75We(1-6x)/Both
Spiderbat - Small | Spiderbat - petit | Composite Monsters | Lv2 | sz=S | OB:40SBi/Poison«
Spiderbat - Large | Spiderbat - grand | Composite Monsters | Lv5 | sz=L | OB:75MBi/Poison«/Spells
Thraxx | Thraxx | Composite Monsters | Lv8 | sz=L | OB:100LCl(2x)/80MBi
Vorasis | Vorasis | Composite Monsters | Lv6 | sz=M | OB:50SBi(1-4x)/Poison«/60MCl/Both
Winged Eel - Electric | Anguille ailée - électrique | Composite Monsters | Lv3 | sz=S | OB:40SBi/30SBolt
Winged Eel - Moray | Anguille ailée - murène | Composite Monsters | Lv4 | sz=M | OB:75MBi
Pegasus Construct | Pegasus construction | Elementals and Artificial Beings | Lv12 | sz=L | OB:80MBa/60SBi
Wolf Construct | Wolf construction | Elementals and Artificial Beings | Lv9 | sz=M | OB:90LBi/60MCl/Special
Air Elemental Savant | Savant élémentaire de l’air | Elementals and Artificial Beings | Lv30 | sz=M | OB:Spells/Special/90LBa[Impact]
Earth Elemental Savant | Savant élémentaire de la terre | Elementals and Artificial Beings | Lv30 | sz=M | OB:Spells/Special/120LBa[Impact]
Fire Elemental Savant | Savant élémentaire du feu | Elementals and Artificial Beings | Lv30 | sz=M | OB:Spells/Special/90LBa[Heat]
Stone Horse | Cheval Stone | Elementals and Artificial Beings | Lv8 | sz=M | OB:80MBa/50MTs
Colossus | Colossus | Elementals and Artificial Beings | Lv35 | sz=H | OB:250HBa/180HGr/270HCr
Diamond Golem | Golem Diamond | Elementals and Artificial Beings | Lv30 | sz=M | OB:260HBa/90LGr/260HCr
Huntaar | Huntaar | Demons | Lv15 | sz=M | OB:150We/100MCl/90LBi/Spells
Rashtar | Rashtar | Demons | Lv6 | sz=M | OB:90We(4x)/60MBa
Frzzzm - Normal | Frzzzm - Normal | Demons | Lv1 | sz=S | OB:0TBi/Spells
Frzzzm - Large | Frzzzm - grand | Demons | Lv5 | sz=S | OB:60SBi/Special«/Spells
Frzzzm - Giant | Frzzzm - géant | Demons | Lv9 | sz=L | OB:100MBi/Special«/Spells/90We
Rhodintor | Rhodintor | Demons | Lv25 | sz=M | OB:20We/Spells
Centaur Champion | champion centaure | Non-Demon Entities | Lv15 | sz=L | OB:170We(2D)/150LBa/150LTs/Spells
Winged Champion | champion ailé | Non-Demon Entities | Lv10 | sz=H | OB:50LCl(2x)/90HSt/poison«
Noble Champion | champion noble | Non-Demon Entities | Lv30 | sz=L | OB:250We(3D)/230LBa/Spells/Special
High Champion | champion supérieur | Non-Demon Entities | Lv40 | sz=L | OB:300HMst(4D)/270HMsw(4D)
Crystyl | Crystyl | Non-Demon Entities | Lv15 | sz=L | OB:150LBa/120sp
Oran | Oran | Non-Demon Entities | Lv8 | sz=L | OB:180We(4D)/Special«/90ro(300')
Sligguth | Sligguth | Non-Demon Entities | Lv12 | sz=L | OB:90LGr[Disrupt)/70We( l-6x)/both
Traag | Traag | Non-Demon Entities | Lv7 | sz=L | OB:100HBi/Poison«/95LCl/Poison«/Spells
Vultrim | Vultrim | Non-Demon Entities | Lv9 | sz=M | OB:130We/50LBolt/Spells
Xaastyl | Xaastyl | Non-Demon Entities | Lv15 | sz=L | OB:110HGr(1-8x)/130HPi √/Spells
Vampiric Centaur | vampirique Centaur | The Undead | Lv15 | sz=M | OB:120We[Cold](2D)/90MBi/Special/Spells
Vampiric Troll | vampirique Troll | The Undead | Lv10 | sz=L | OB:90We[Cold](2D)/100LCl/75MBi/Special/Spells
Dark Apparition | Apparition sombre | The Undead | Lv5 | sz=M | OB:60MCl/45MBi/Special
Undead Drake | Drake mort-vivant | The Undead | Lv28 | sz=H | OB:100HBi[Cold]/140HCl[Cold]/110HBa[Cold]/110HHo[Cold
Giant Skeleton - Lesser | Squelette géant - mineur | The Undead | Lv4 | sz=L | OB:70MCl/75MBa/90MBi«
Giant Skeleton - Greater | Squelette géant - supérieur | The Undead | Lv8 | sz=L | OB:95LCl/95MBa/80LHo √/90LBi«
Nightgaunt | Nightgaunt | The Undead | Lv9 | sz=M | OB:80MBa/70MCl«l 1-20
Skullbat - Minor | Chauve-souris crânienne - Minor | The Undead | Lv1 | sz=S | OB:30SBi/Special
Skullbat - Greater | Chauve-souris crânienne - supérieur | The Undead | Lv7 | sz=L | OB:90LBi/Special
Skullbat - Major | Chauve-souris crânienne - majeur | The Undead | Lv4 | sz=M | OB:60MBi/Special
Spajlen-Tier | Spajlen-Tier | The Undead | Lv35 | sz=H | OB:125HBi[Cold]/135HCl[Cold]/150HBa[Cold]/95HHo[Cold]
Wrath - Minor | Wrath - Minor | The Undead | Lv10 | sz=M | OB:90MCl/Spells/Special
Wrath - Greater | Wrath - supérieur | The Undead | Lv20 | sz=M | OB:120MCl/120We/Spells/Special
Wrath - Major | Wrath - majeur | The Undead | Lv15 | sz=M | OB:110MCl/Spells/Special
Gon Abatha | Gon Abatha | Entities from Deep Space | LvNone | sz=M | OB:L
Meleth'scor - Small | Meleth'scor - petit | Entities from Deep Space | Lv1 | sz=M | OB:20SHo80/10STs20
Meleth'scor - Large | Meleth'scor - grand | Entities from Deep Space | Lv2 | sz=M | OB:20MHo90/30MTs10
Nihashbin Warrior | Nihashbin Warrior | Entities from Deep Space | Lv8 | sz=L | OB:120We/80LBa/70ro
Cthugan | Cthugan | Entities from Deep Space | Lv15 | sz=M | OB:Spe11s/I 00LGr/120MBi/l?oison«/
N'abis | N'abis | Entities from Deep Space | LvNone | sz=None | OB:z
Bull Centaur | Centaure taureau | Races | Lv15 | sz=L | OB:170We(2D)/150LBa/150LTs/Spells
Deer Centaur | Centaure cerf | Races | Lv2 | sz=M | OB:20MHo90/20MTs10
Lion Centaur | Centaure lion | Races | Lv5 | sz=L | OB:85LCl100/85LBi«/120LCl √
Lizard Centaur | Centaure lézard | Races | Lv15 | sz=L | OB:170We(2D)/150LBa/150LTs/Spells
Scorpion Centaur | Centaure scorpion | Races | Lv15 | sz=L | OB:170We(2D)/150LBa/150LTs/Spells
Spider Centaur | Centaure araignée | Races | Lv7 | sz=M | OB:70MBi/Poison«/60lcb
Green Gratar | Green Gratar | Races | Lv0 | sz=S | OB:20TBi100/20SBi(6)
Yellow Gratar | Yellow Gratar | Races | Lv0 | sz=S | OB:20TBi100/20SBi(6)
Black Gratar | Black Gratar | Races | Lv0 | sz=S | OB:20TBi100/20SBi(6)
Grey Gratar | Grey Gratar | Races | Lv0 | sz=S | OB:20TBi100/20SBi(6)
Red Gratar | Red Gratar | Races | Lv0 | sz=S | OB:20TBi100/20SBi(6)
Grey Orc | Orque gris | Races | Lv8 | sz=M | OB:Spells/80Melee/50Missile
Scrug Orc | Orque scrug | Races | Lv4 | sz=L | OB:100Melee/80Missile
Vard Orc | Orque vard | Races | Lv4 | sz=M | OB:80Melee(1-3x)/80Missile
Minoths | Minoths | Races | Lv5 | sz=T | OB:Spells/40We(1 pt damage)
Nycamerith | Nycamerith | Races | Lv2 | sz=M | OB:10Melee/20Missile/Spells
Rancids | Rancids | Races | Lv4 | sz=M | OB:Spells/60MBa(1-5x)
Shuikmar | Shuikmar | Races | Lv3 | sz=M | OB:60Melee/40Missile/Spells
Sea Troll | Troll marin | Races | Lv10 | sz=L | OB:100LCl/75LBi/50We

=== HAS description_en - need translation ===
--- Antelope-like Animal (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Rodent (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Llama ---
Alpacas and llamas are smaller than camels and have no humps. Both are domesticated forms of the guanaco, beasts adapted to high altitudes and arid or semi–arid locales. Rugged, fast, and lively, they

--- Donkey ---
wild; 5'–7'; 1 offspring

--- Mule ---
Donkeys are domesticated asses and, like their wild kin, are wonderful climbers. Tough and ornery, they live and travel in loose–knit troops rather than herds. Donkeys are difficult to work with and p

--- Thoroughbred ---
Domesticated horses come in many varieties. Ponies are exceptionally rugged and often shaggy–haired creatures, well suited to difficult climes. Plow horses are huge breeds that are adapted to heavy wo

--- Warhorse, Greater ---
Warhorses are bred and trained to take riders into combat. They are generally less shy of fire, smoke, loud noises and blood than other horses, and sometimes are trained to kick, rear–and–strike or bi

--- Dolphin ---
Innate Abilities: Sonar sense Dolphins are most commonly found in coastal waters. Their markings are variable but all possess a distinctive, long beak. Fast swimmers, they feed on fish, shrimp, mol- l

--- Orca/Killer Whale ---
1 young Innate Abilities: Sonar sense Orcas are not whales, but rather are the largest species of dolphin, even though they don’t possess the usual beak. With their 40–50 teeth they prey on fish, dolp

--- Porpoise ---
Innate Abilities: Sonar sense Porpoises are small, beakless whales that range equally through coastal and deep oceanic waters. They feed on squid and fish.

--- River Dolphin ---
Innate Abilities: Sonar sense River Dolphins are recognized by their prominent foreheads and very long beaks. They feed on small fish and crustaceans.

--- Eel (Electric) ---
Innate Abilities: Can trigger SBolt when it strikes, is struck, or 5'r (1x/min). Electric eels also live in freshwater but even though they have long, slender bodies they are not true eels. Usually fo

--- Eel (Moray) ---
Moray eels normally inhabit rocky shores. They possess very large mouths and sharp teeth. Morays prey on fish and squid.

--- Fish (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Octopi/Squid (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Ray (Electric) ---
Innate Abilities: Can trigger SBolt when it strikes, is struck, or 5'r (1x/min). Electric eels also live in freshwater but even though they have long, slender bodies they are not true eels. Usually fo

--- Ray (Manta) ---
Rays’ strange appearance has made them much feared through the ages. A flapping motion of their pectoral fins gives them the illusion of “flying” through the water. The Manta Ray, or Atlantic Manta, i

--- Shark (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Whale (Baleen) ---
Innate Abilities: Sonar sense Baleen whales are those that feed with their baleen, which consists of rows of plates sus- pended from the upper jaw. Fish and plankton are caught on the plates, while th

--- Whale (Beaked) ---
Innate Abilities: Sonar sense Beaked whales comprise 18 species, all of which have slender bodies, long snouts, and generally only one or two pairs of teeth. They feed on fish, squid, and crustaceans.

--- Whale (Narwhal) ---
Innate Abilities: Sonar sense Narwhals are well known for their long spiral tusk, which is actually the upper–left incisor. Narwhals feed on fish, shrimp, crabs, and squid.

--- Whale (Toothed (Small)) ---
Innate Abilities: Sonar sense

--- Whale (Toothed (Large)) ---
Innate Abilities: Sonar sense Toothed whales are those which aren’t baleen or beaked. Of these, the Sperm whale is the most familiar. Their common characteris- tics are the square forehead and the spe

--- Jellyfish ---
diameter, tentacles 12"–275' long Innate Abilities: Sting- ing cells at the ends of their tentacles –inject 1st lvl muscle poison (variabil- ity b). Jellyfish have a floating

--- Lamprey ---
Innate Abilities: If SGr attack gets a critical, it is attached and will drain blood at 1–10 hits/rnd. Lamprey are long, eel–like blood–sucking parasites. They first attach themselves firmly to the ho

--- Piranha ---
Piranhas are not overly large, but their vast schools form formi- dable hunting groups. They are known for their razor–like teeth and powerful jaws. Piranhas feed primarily on fish, but if they encoun

--- Lobsters* ---
10,000–75,000 eggs Crabs and lobsters are related crusta- ceans, both known for their aggressive, predatory manner, relatively large size, and proportionately huge pincher claws. These creatures are r

--- Scorpions ---
Innate Abilities: Stinger injects a 3rd level respiratory poison (variability d). Scorpions are secretive, nocturnal arachnids whose forward appendages are tipped with large pinchers, and whose long r

--- Spider (Poisonous) ---
Innate Abilities: Bite or spray 1st level reduction poison (variability a).

--- Spider (Non-Poisonous) ---
Spiders are eight–legged invertebrates, arachnids that are related to scorpions and mites. They are carnivo- rous hunters noted for their pincher–like jaws, groupings of eight primitive eyes, and glan

--- Lizard (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Cobra ---
2–50 eggs

--- Snake (Non-Poisonous) ---
Spiders are eight–legged invertebrates, arachnids that are related to scorpions and mites. They are carnivo- rous hunters noted for their pincher–like jaws, groupings of eight primitive eyes, and glan

--- Pit Viper ---
live young, some produce eggs Innate Abilities: Bite injects 2nd lvl muscle poison (variability b). Vipers ambush their prey, striking with their long poisonous fangs in frighteningly quick attacks. T

--- Viper ---
3–40 eggs Innate Abilities: Bite injects 2nd lvl muscle poison (variability b).

--- Gila Monster ---
3–5 eggs Innate Abilities: Bite for extra grapple critical 1 less severity and 3rd lvl nerve poison (variability b). A venomous, nocturnal lizard, the gila monster is a formidable foe. Its carnivorous

--- Komodo Dragon ---
10–15 eggs Innate Abilities: High bacterial loads in their mouth make almost any bite that inflicts a critical become a septic wound; treat as 4th level Muscle poison (variability a) but RR vs. Diseas

--- Nile Monitor ---
10–60 eggs Versatile, quick, and agile, the nile monitor is an able hunter. This large, powerfully built lizard prefers freshwater environs and is an accomplished swimmer and tree–climber. Strong legs

--- Bear (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Cat (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Dog (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Mustelid/Civet (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Cheetah ---
25–31" tail; 2–4 young Cheetahs are the fastest animals on four legs, being able to move at over 65 mph. The sleek body sits atop long muscular legs; a lengthy tail helps it maintain balance during th

--- Housecat ---
Housecats are the domesticated versions of the smaller cat species. Even though well–fed and bred to the coziness of the house- hold, housecats adapt quickly if forced to fend for themselves. Like the

--- Fishing Cat (Water) ---
prehensile tail Innate Abilities: Horn or stinger attack injects nerve poison (poison level is wyvern’s level). Natural Abilities: Vertical leap 35', hori- zontal leap 200' Exclusively aquatic and liv

--- Fishing Cat (Land) ---
prehensile tail) Innate Abilities: Bite or tail–stinger attack injects muscle poison (poison level is wyvern’s level). Agile climbers that nest in highland caves or huge, hollow trees.

--- Lion ---
1–6 young Lions are characterized by their broad heads, large mane, and strong thick legs. Surprisingly, most of their time is spent resting. They live in groups, called prides, which are commonly mad

--- Mongoose ---
1–6 young The widespread nature of the mongoose has caused it to vary its appearance. Most are medium to small in size; their slender, elon- gated bodies and small, drawn out heads sit on top of avera

--- Otter (Water) ---
prehensile tail Innate Abilities: Horn or stinger attack injects nerve poison (poison level is wyvern’s level). Natural Abilities: Vertical leap 35', hori- zontal leap 200' Exclusively aquatic and liv

--- Otter (Land) ---
prehensile tail) Innate Abilities: Bite or tail–stinger attack injects muscle poison (poison level is wyvern’s level). Agile climbers that nest in highland caves or huge, hollow trees.

--- Skunk ---
2–6 young Innate Abilities: Spray as Tear Cloud (Essence “Feel–Taste–Smell”) with 2'r around target (plus the odor of course). Skunks are the most familiar of the Mustelids, being well known for their

--- Tiger ---
2–3 young Tigers are the biggest cats, possessing very large powerful bodies and muscular legs. They are usually nocturnal creatures, living and hunting alone. Tigers are good climbers, and are well k

--- Wolf ---
Wolves are easily recognized by their power- ful canine body and thick, bushy tail. They vary in coloring from white to yellowish brown and almost black. Wolves live and hunt in packs, a fact which al

--- Wolverine ---
2–3 young Wolverines have solid bodies and possess great strength, both of which allow them to bring down animals much larger than themselves. They have keen senses and are good climbers. Their meat e

--- Bird (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Bat (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Condor ---
wingspan of 12'; up to 25 lbs; 1 young Natural Abilities: Flight Condors are some of the largest birds in the world. They inhabit the lonely crags of high mountains. They can soar to great heights and

--- Eagle ---
Natural Abilities: Flight Eagles are formidable predators, soaring for long periods before swooping in to crush their prey in their powerful talons.

--- Hawk ---
1–5 eggs Natural Abilities: Flight Falcons are known for their incredible swiftness and their ability to catch prey in the air. Hawks include 216 species of diver birds and can be found in most region

--- Owl ---
Natural Abilities: Flight Owls can be found in most areas of the world. They are best recognized by their large head and enormous eyes set in a circular facial disk. Owls hunt at night, feeding on ins

--- Vulture ---
Natural Abilities: Flight Vultures range over an extensive portion of the earth, feeding on carrion. They, like condors, are solitary birds, easily recognized by their featherless heads. This feature 

--- Bee/Wasp ---
Natural Abilities: Flight Wasps live in colonies of thousands. They attack with a quick bite from their powerful mandibles or jaws; the painful sting is used only as a last resort (poison, sting

--- Great Apes ---
body, no tail; 100–600 lbs.; 1 young The great apes are robust and often huge creatures. Chimpanzees, orangutans, and gorillas fall into this category. These beasts live in small troops of 5–15 and op

--- Kangaroo/Wallaby (Large) ---
Fish comprise over 20,000 species and are commonly found in all waters. Because of this huge number, the variety in size, coloration, feeding patterns and reproduction is over- whelming. Most are not 

--- Boar ---
2–10 piglets The ancestor of the domestic pig, the wild boar differs from its tame relatives by virtue of its long, bristly hair and (in males) promi- nent tusk–like canine teeth. These creatures are 

--- Gorilla ---
4'6"–5'; 1 young See primates for more on gorillas. Gorillas live in both mountain and lowland rainforests, but they are confined to warm climes. Normally gentle and peaceful, they live quietly in gro

--- Hippopotamu (Water) ---
females 9'3"–12'; 1 young Hippos are huge crea- tures, with a bulky body surmounted by a massive head. Known for their rounded features, they have short ears, a little tail, and relatively small, bulg

--- Hippopotamu (Land) ---
females 9'3"–12'; 1 young Hippos are huge crea- tures, with a bulky body surmounted by a massive head. Known for their rounded features, they have short ears, a little tail, and relatively small, bulg

--- Porcupine ---
females 9'3"–12'; 1 young Hippos are huge crea- tures, with a bulky body surmounted by a massive head. Known for their rounded features, they have short ears, a little tail, and relatively small, bulg

--- Rat ---
females 9'3"–12'; 1 young Hippos are huge crea- tures, with a bulky body surmounted by a massive head. Known for their rounded features, they have short ears, a little tail, and relatively small, bulg

--- Rhinoceros ---
Aside from elephants, rhinos are the most massive land animals. These mammals have long, huge heads surmounted by one or two horns and a prehensile upper lip. Their short, stout legs and three–toed ho

--- Seal (Water) ---
1–2 pups

--- Seal (Land) ---
1–2 pups

--- Sea Lion (Water) ---
Seals, sea lions, and walruses are aquatic mammals called Pinnepeds. These carnivo- rous creatures have adapted to life in and around the sea by developing flippers in lieu of arms and legs. Superb sw

--- Sea Lion (Land) ---
Seals, sea lions, and walruses are aquatic mammals called Pinnepeds. These carnivo- rous creatures have adapted to life in and around the sea by developing flippers in lieu of arms and legs. Superb sw

--- Tasmanian Devil ---
body, 9"–11.75" tail; 2–4 young The tasmanian devil is a marsupial mammal and is distantly related to the kangaroo. They resemble large rodents, but have relatively huge heads and powerful jaws that a

--- Walru (Water) ---
9'6"; 1–2 young Walruses are the largest pinneped, and are known for their huge downward–Facing tusks and preference for icy waters and shores. Sea lions are their close relatives. The latter are the 

--- Walru (Land) ---
9'6"; 1–2 young Walruses are the largest pinneped, and are known for their huge downward–Facing tusks and preference for icy waters and shores. Sea lions are their close relatives. The latter are the 

--- Great Spider (Lesser) ---
Innate Abilities: Bite accompanied by a 2nd level muscle poison (variability b) or a 3rd level reduction poison (variability a).

--- Great Spider (Greater) ---
Innate Abilities: Bite accompanied by a 4th level muscle poison (variability b) or a 6th level reduction poison (variability a). Giant spiders are huge predatory arach- nids, the largest variety of ve

--- Great Spider (Major) ---
Innate Abilities: Bite accompanied by a 10th level muscle poison (variability b) or a 20th level reduction poison (variability a). Innate Caster (3xlevel pp “Essence’s Percep- tions,” “Detecting Ways,

--- Horse Viper ---
Innate Abilities: Bite accompanied by 5th level muscle poison; can spray venom, RR (+ Qu) vs. blinding then 2nd level muscle poison; range 30' no range modifiers. The horse viper and the horned snake 

--- Horned Snake ---
Innate Abilities: Horned tail strikes accompanied by 6th level conversion poison (variability d). Horned snakes are creatures of the forest. Notable for their sharp, horn–sheathed tails, they do not b

--- Tatzelwurm ---
The tatzelwurm is a strange–looking lizard–like beast with a short, stubby tail and virtually no neck. Powerful and compact, it has stumpy legs (so short that the beast is often taken for a snake) and

--- Demon Whale ---
White or gray, the demon whale hides in the roaring breakers near northern sea–lanes, awaiting the incautious seamen who dare trespass into their territory. Diving deep, these denizens hurl straight u

--- Giant Hellbender ---
The giant hellbender is a slimy, loathsome, four–legged amphibian that spends little or no time on land. Preferring to lurk in stagnant pools or in the mud of freshwater shallows, it awaits opportunit

--- Hippocampus ---
Sleek, powerful, and noble, the hippocam- pus is the lordliest of the sea–steeds. It re- sembles a horse, but has the hind parts of a sea serpent. Its forelimbs end in great webbed feet, which sport a

--- Nator ---
Innate Abilities: Breathes air or water Foaming wind–tossed waves, green mirror–Flat inland seas, and the threatening peace of the sunless deeps harbor the scaly nator. A three–horned horse with trans

--- Nucklelavee ---
Aquatic horse Innate Abilities: GBr (cone length 20'; cone base 20'; 3rd level conversion poison variability b; when inhaled turns bodily fluids into saltwater). Wave spume flecks the hooves of this s

--- Red Jaw ---
Innate Abilities: Light–producing fin growths illuminate 100' radius. The red jaw is a bottom–dwelling scaven- ger that haunts underground lakes and streams. Voracious, they will eat any meat, live or

--- Spineshark ---
Innate Abilities: Strong knife–edged dorsal fin Spinesharks are nightmarish creatures. Huge carnivorous fish, they are an abhorrent breed of shark known for their exceptionally hard upper back armor a

--- Wyverns (Minor Drakes) (Land) ---
prehensile tail) Innate Abilities: Bite or tail–stinger attack injects muscle poison (poison level is wyvern’s level). Agile climbers that nest in highland caves or huge, hollow trees.

--- Wyverns (Minor Drakes) (Cave Worm) ---
natural daylight Innate Abilities: Critical from bite accom- panied by heat criticals of lesser severity (same roll). Natural Abilities: Moves 25'/round through packed earth, 5'/round through solid ro

--- Dragon Salamander ---
30' including a 7'–10' tail Innate Abilities: Breathe under water. Breathe Lava, Immolate to deliver a + 75 fireball attack to all within 10'); move equally well on land or in water or lava. Dragon sa

--- Dragon Turtle ---
